Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Scone",5183,235,0,3,406,5823,
"Scone Region",6957,456,13,9,845,8288,
"Dapto - Avondale",21552,972,17,22,893,23460,
"Horsley - Kembla Grange",8210,207,0,8,236,8655,
"Port Kembla Industrial",8,0,0,0,4,13,
"Unanderra - Mount Kembla",14214,312,4,7,840,15374,
"Berkeley - Lake Heights - Cringila",12533,534,10,8,717,13797,
"Port Kembla - Warrawong",8656,431,10,0,656,9751,
"Windang - Primbee",3874,154,3,0,261,4301,
"Illawarra Catchment Reserve",7,0,0,0,0,7,
"Albion Park - Macquarie Pass",13306,492,15,16,510,14331,
"Albion Park Rail",6189,341,0,3,381,6918,
"Kiama",7167,120,0,0,402,7695,
"Kiama Downs - Minnamurra",5516,115,0,0,242,5875,
"Kiama Hinterland - Gerringong",7030,137,9,10,624,7812,
"Shellharbour - Flinders",15634,417,19,5,757,16831,
"Shellharbour - Oak Flats",9199,286,3,10,454,9951,
"Warilla",18141,979,31,13,1257,20422,
"Balgownie - Fairy Meadow",19907,366,13,6,913,21201,
"Corrimal - Tarrawanna - Bellambi",14135,573,10,20,682,15421,
"Figtree - Keiraville",20037,279,0,14,757,21083,
"Helensburgh",8202,200,9,7,370,8788,
"Thirroul - Austinmer - Coalcliff",10614,173,4,3,511,11306,
"Woonona - Bulli - Russell Vale",18525,471,8,4,834,19840,
"Wollongong - East",12204,177,6,6,1572,13968,
"Wollongong - West",15565,297,10,0,831,16707,
"Bulahdelah - Stroud",4165,252,4,5,304,4725,
"Forster",12441,807,13,13,989,14270,
"Forster-Tuncurry Region",5330,284,8,7,462,6085,
"Tuncurry",5487,230,9,12,450,6182,
"Kempsey",11024,2367,23,72,1278,14756,
"Kempsey Region",7588,609,0,15,814,9024,
"Macksville - Scotts Head",4139,296,13,15,328,4792,
"Nambucca Heads",5673,597,10,11,453,6752,
"Nambucca Heads Region",6553,505,3,8,588,7665,
"South West Rocks",4564,263,3,0,305,5133,
"Lord Howe Island",335,4,0,0,40,381,
"Laurieton - Bonny Hills",15281,509,8,5,936,16743,
"Port Macquarie - East",25713,903,7,9,1420,28050,
"Port Macquarie - West",15299,836,13,11,1170,17326,
"Port Macquarie Region",4576,189,7,0,520,5293,
"Wauchope",9790,667,4,4,687,11150,
"Gloucester",4299,370,4,0,353,5033,
"Old Bar - Manning Point - Red Head",9515,413,7,12,584,10531,
"Taree",17075,1969,39,37,1360,20478,
"Taree Region",10888,511,17,10,1010,12444,
"Wingham",4737,304,6,4,323,5374,
"Albury - East",14044,277,4,6,715,15047,
"Albury - North",8736,296,6,9,798,9845,
"Albury - South",9203,242,4,8,848,10302,
"Albury Region",10542,313,5,8,735,11611,
"Lavington",12891,540,13,5,1023,14473,
"Hay",2445,173,0,0,354,2970,
"Wentworth - Buronga",4791,611,3,12,545,5965,
"Wentworth-Balranald Region",2945,227,3,8,423,3611,
"Corowa",4998,90,0,0,385,5482,
"Corowa Region",6039,110,8,3,578,6742,
"Deniliquin",6399,319,13,4,700,7434,
"Deniliquin Region",5927,226,4,0,601,6751,
"Moama",5324,151,0,0,369,5845,
"Tocumwal - Finley - Jerilderie",8506,221,14,3,984,9728,
"Armidale",20011,1638,26,20,1648,23348,
"Armidale Region - North",3908,239,7,8,332,4490,
"Armidale Region - South",5195,396,9,6,417,6023,
"Walcha",2710,181,8,5,329,3226,
"Glen Innes",7477,501,6,22,826,8832,
"Inverell",9785,1057,12,29,772,11660,
"Inverell Region - East",4195,498,5,5,545,5235,
"Inverell Region - West",5058,312,14,5,594,5987,
"Tenterfield",5508,368,10,14,720,6624,
"Moree",5344,1930,11,28,891,8203,
"Moree Region",3915,866,8,20,650,5451,
"Narrabri",5573,831,16,32,705,7170,
"Narrabri Region",3645,569,4,6,571,4797,
"Gunnedah",7283,1235,15,15,635,9191,
"Gunnedah Region",3341,406,14,6,367,4133,
"Quirindi",6041,927,21,13,688,7684,
"Tamworth - East",16955,1991,32,53,1339,20372,
"Tamworth - North",12759,1248,18,22,1028,15077,
"Tamworth - West",3730,1230,25,27,549,5563,
"Tamworth Region",15665,1314,44,22,1433,18472,
"Belmont - Bennetts Green",16547,573,6,3,596,17724,
"Belmont South - Blacksmiths",5106,274,3,9,216,5604,
"Charlestown - Dudley",22230,781,12,11,928,23965,
"Glendale - Cardiff - Hillsborough",21686,905,9,16,778,23387,
"Mount Hutton - Windale",7747,661,3,11,486,8901,
"Redhead",3254,91,6,4,166,3517,
"Swansea - Caves Beach",10656,409,7,4,466,11546,
"Valentine - Eleebana",11489,157,0,3,347,11994,
"Warners Bay - Boolaroo",12517,337,7,8,504,13371,
"Bolton Point - Teralba",7601,520,9,18,379,8523,
"Bonnells Bay - Silverwater",8031,357,13,4,308,8719,
"Edgeworth - Cameron Park",12989,733,14,11,450,14200,
"Morisset - Cooranbong",13677,508,21,15,739,14963,
"Toronto - Awaba",12196,681,17,21,513,13425,
"Wangi Wangi - Rathmines",8246,338,12,8,287,8897,
"West Wallsend - Barnsley - Killingworth",5862,347,11,8,255,6481,
"Adamstown - Kotara",14825,367,0,6,397,15600,
"Beresfield - Hexham",7357,542,6,9,442,8358,
"Hamilton - Broadmeadow",10868,377,15,18,571,11847,
"Lambton - New Lambton",15602,412,12,9,487,16526,
"Maryland - Fletcher - Minmi",12533,651,9,9,368,13570,
"Mayfield - Warabrook",13703,549,9,11,599,14873,
"Merewether - The Junction",12805,202,3,4,607,13622,
"Newcastle - Cooks Hill",9654,251,6,3,841,10757,
"Newcastle Port - Kooragang",17,0,0,0,0,16,
"Shortland - Jesmond",10692,381,18,26,427,11544,
"Stockton - Fullerton Cove",6792,286,3,8,400,7495,
"Wallsend - Elermore Vale",18108,829,18,5,669,19628,
"Waratah - North Lambton",11106,521,13,8,412,12059,
"Wickham - Carrington - Tighes Hill",7204,314,7,0,474,8003,
"Ballina",15244,645,25,15,1187,17115,
"Ballina Region",15195,519,18,6,1096,16835,
"Bangalow",4957,57,7,0,650,5670,
"Brunswick Heads - Ocean Shores",7247,184,12,24,744,8212,
"Byron Bay",7856,125,9,3,1504,9503,
"Evans Head",4526,218,10,14,457,5219,
"Lennox Head - Skennars Head",7214,137,6,0,383,7741,
"Mullumbimby",6807,127,10,9,1035,7994,
"Casino",10309,1090,17,12,800,12231,
"Casino Region",5927,348,4,10,685,6972,
"Goonellabah",11378,840,17,23,867,13122,
"Kyogle",6330,289,9,3,682,7312,
"Lismore",13203,809,28,17,1225,15282,
"Lismore Region",13340,396,12,18,1257,15028,
"Kingscliff - Fingal Head",11613,473,54,46,960,13150,
"Murwillumbah",8031,279,14,19,596,8942,
"Murwillumbah Region",8414,213,20,12,1005,9653,
"Pottsville",11901,396,40,45,797,13181,
"Tweed Heads",17125,598,60,81,1560,19418,
"Banora Point",14279,592,32,66,666,15636,
"Terranora - North Tumblegum",2988,85,10,3,156,3249,
"Tweed Heads South",7198,420,37,30,464,8146,
"Griffith (NSW)",16532,936,24,11,1645,19143,
"Griffith Region",10772,810,17,8,1263,12880,
"Leeton",8696,513,10,7,865,10086,
"Narrandera",4844,558,3,3,623,6034,
"Tumbarumba",3034,150,0,4,261,3445,
"Tumut",5380,302,10,4,576,6275,
"Tumut Region",4183,158,4,0,369,4715,
"Cootamundra",6618,398,8,5,532,7566,
"Gundagai",3239,95,0,0,264,3596,
"Junee",5237,471,10,15,516,6245,
"Temora",6111,150,5,0,451,6717,
"Wagga Wagga - East",15189,661,14,6,708,16585,
"Wagga Wagga - North",4062,117,0,4,212,4404,
"Wagga Wagga - South",18849,1404,23,21,975,21266,
"Wagga Wagga - West",10246,926,12,13,950,12155,
"Wagga Wagga Region",13012,503,17,10,1280,14819,
"Berry - Kangaroo Valley",7962,171,4,0,648,8788,
"Callala Bay - Currarong",3227,159,0,0,226,3611,
"Culburra Beach",4321,306,3,0,327,4962,
"Ettrema - Sassafras - Budawang",43,0,0,0,6,54,
"Huskisson - Vincentia",3821,118,4,0,259,4194,
"North Nowra - Bomaderry",13893,867,22,7,964,15759,
"Nowra",16504,1884,46,30,1571,20040,
"St Georges Basin - Erowal Bay",12269,921,10,11,794,14006,
"Sussex Inlet - Berrara",3967,144,6,0,227,4345,
"Tomerong - Wandandian - Woollamia",3073,130,3,0,192,3405,
"Ulladulla",13853,489,20,8,905,15279,
"Ulladulla Region",4554,110,3,3,395,5063,
"Bowral",12087,111,9,5,740,12948,
"Hill Top - Colo Vale",5507,200,0,0,319,6026,
"Mittagong",8185,218,0,4,590,8999,
"Moss Vale - Berrima",8972,237,8,0,576,9801,
"Robertson - Fitzroy Falls",3164,49,0,0,294,3506,
"Southern Highlands",6087,93,6,0,404,6585,
"Baulkham Hills (East)",22257,120,3,3,563,22943,
"Baulkham Hills (West) - Bella Vista",19530,79,0,0,459,20068,
"Glenhaven",6040,36,0,0,171,6253,
"West Pennant Hills",12328,37,0,0,272,12640,
"Castle Hill - Central",7362,24,4,0,232,7609,
"Castle Hill - East",5437,15,0,0,145,5594,
"Castle Hill - North",11517,37,0,0,335,11886,
"Castle Hill - South",9218,35,0,8,258,9519,
"Castle Hill - West",5112,17,0,0,110,5239,
"Cherrybrook",18319,47,0,6,397,18768,
"Kellyville",22514,87,5,3,621,23231,
"Dural - Kenthurst - Wisemans Ferry",19882,141,9,0,986,21019,
"Galston - Laughtondale",4933,42,0,0,230,5210,
"Bilpin - Colo - St Albans",2241,85,0,0,367,2691,
"Kurrajong Heights - Ebenezer",20016,576,3,14,1297,21898,
"Pitt Town - McGraths Hill",9815,223,9,0,485,10531,
"Rouse Hill - Beaumont Hills",21808,182,0,0,666,22651,
"Blacktown (East) - Kings Park",15790,222,7,14,883,16920,
"Blacktown (North) - Marayong",16845,458,17,11,691,18024,
"Doonside - Woodcroft",20939,752,20,11,810,22526,
"Lalor Park - Kings Langley",23306,499,17,25,1025,24874,
"Seven Hills - Toongabbie",22453,344,14,5,1104,23920,
"Blacktown (South)",11605,142,8,8,562,12325,
"Blacktown (West)",15209,259,10,0,680,16154,
"Glenwood",15716,95,0,4,316,16128,
"Parklea - Kellyville Ridge",31219,369,13,17,1025,32645,
"Riverstone - Marsden Park",15720,457,15,19,1109,17307,
"Acacia Gardens",3671,17,0,0,109,3796,
"Quakers Hill",21884,365,0,5,691,22945,
"Bidwill - Hebersham - Emerton",15348,1537,25,22,1510,18439,
"Glendenning - Dean Park",7846,187,5,5,305,8354,
"Hassall Grove - Plumpton",19247,490,22,12,897,20673,
"Lethbridge Park - Tregear",17353,1711,33,14,1597,20705,
"Mount Druitt - Whalan",20571,825,23,15,1265,22701,
"Prospect Reservoir",24,0,0,0,18,39,
"Rooty Hill - Minchinbury",19979,364,8,8,797,21152,
"Banksmeadow",17,0,0,0,6,18,
"Botany",9912,273,8,11,623,10822,
"Mascot - Eastlakes",22800,277,10,11,1315,24407,
"Pagewood - Hillsdale - Daceyville",10312,219,6,8,825,11374,
"Port Botany Industrial",3,0,0,0,0,11,
"Sydney Airport",24,0,0,0,28,61,
"Marrickville",24281,416,4,8,1833,26540,
"Petersham - Stanmore",18228,247,6,4,1743,20234,
"Sydenham - Tempe - St Peters",7218,134,0,3,488,7840,
"Darlinghurst",9450,56,5,0,1803,11317,
"Erskineville - Alexandria",14683,220,0,9,1328,16236,
"Glebe - Forest Lodge",17346,315,20,12,1917,19614,
"Newtown - Camperdown - Darlington",22410,235,9,10,2182,24840,
"Potts Point - Woolloomooloo",16539,208,15,9,4435,21200,
"Pyrmont - Ultimo",19249,165,5,7,2229,21655,
"Redfern - Chippendale",19625,336,12,21,2503,22495,
"Surry Hills",14175,149,9,3,2076,16416,
"Sydney - Haymarket - The Rocks",23474,45,8,0,3881,27408,
"Waterloo - Beaconsfield",29237,564,12,28,3223,33061,
"Bondi - Tamarama - Bronte",16492,63,0,4,1841,18401,
"Bondi Beach - North Bondi",18297,69,8,3,2352,20729,
"Bondi Junction - Waverly",14791,81,3,0,1978,16853,
"Centennial Park",0,0,0,0,0,0,
"Double Bay - Bellevue Hill",22404,78,0,0,2378,24870,
"Dover Heights",10155,36,3,6,637,10830,
"Paddington - Moore Park",13653,41,3,7,1466,15171,
"Rose Bay - Vaucluse - Watsons Bay",11029,24,0,3,785,11844,
"Woollahra",6888,12,3,0,775,7686,
"Coogee - Clovelly",23124,214,15,9,2095,25455,
"Malabar - La Perouse - Chifley",21230,1149,17,24,1623,24036,
"Kensington (NSW)",13693,105,9,4,1074,14887,
"Kingsford",14785,90,9,0,724,15602,
"Maroubra - North",9298,62,0,0,443,9812,
"Maroubra - South",9732,197,6,6,737,10681,
"Maroubra - West",9535,69,4,0,586,10195,
"Randwick - North",15764,90,7,0,1015,16874,
"Randwick - South",11750,64,0,0,1304,13113,
"Bass Hill - Georges Hall",20579,171,14,6,1066,21834,
"Chullora",824,3,0,0,75,900,
"Condell Park",10703,63,0,0,536,11305,
"Greenacre - Mount Lewis",24403,136,4,0,1425,25964,
"Padstow",15628,166,0,0,689,16475,
"Panania - Milperra - Picnic Point",24337,402,8,8,1033,25788,
"Revesby",15413,157,3,0,649,16223,
"Yagoona - Birrong",19469,145,12,5,1072,20706,
"Bankstown - North",15049,49,3,0,1135,16237,
"Bankstown - South",14683,57,11,0,1247,15993,
"Belmore - Belfield",17998,117,10,7,896,19033,
"Canterbury (South) - Campsie",28993,171,0,0,1450,30620,
"Kingsgrove (North) - Earlwood",22206,173,18,0,1287,23679,
"Punchbowl",19516,84,4,10,1143,20753,
"Roselands",12922,83,9,5,727,13739,
"Lakemba",15951,47,0,0,1023,17019,
"Wiley Park",9502,22,4,0,688,10217,
"Hurstville",22554,64,4,3,979,23613,
"Mortdale - Penshurst",22737,148,0,0,1021,23907,
"Narwee - Beverly Hills",13101,97,13,3,567,13781,
"Oatley - Hurstville Grove",12120,72,3,0,419,12614,
"Peakhurst - Lugarno",17226,143,3,0,559,17937,
"Riverwood",10563,71,0,0,637,11277,
"South Hurstville - Blakehurst",23169,74,8,0,809,24070,
"Arncliffe - Bardwell Valley",20066,140,8,4,1232,21443,
"Bexley",24928,105,3,0,1437,26480,
"Kingsgrove (South) - Bardwell Park",12009,87,11,3,505,12615,
"Kogarah",10703,51,4,0,555,11315,
"Kogarah Bay - Carlton - Allawah",15198,93,5,5,670,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",12804,115,0,0,1044,13972,
"Rockdale - Banksia",18581,98,0,3,1270,19960,
"Sans Souci - Ramsgate",14912,132,10,6,906,15976,
"Concord - Mortlake - Cabarita",20708,108,0,3,920,21742,
"Concord West - North Strathfield",23386,89,11,0,1360,24850,
"Drummoyne - Rodd Point",17089,52,3,0,1173,18326,
"Five Dock - Abbotsford",19096,134,7,0,1205,20440,
"Balmain",14244,109,4,0,1336,15686,
"Leichhardt - Annandale",24202,300,14,8,1866,26388,
"Lilyfield - Rozelle",12815,127,6,8,1035,13991,
"Ashfield",22890,137,11,13,1451,24497,
"Burwood - Croydon",23381,76,5,0,1187,24653,
"Canterbury (North) - Ashbury",9750,123,0,0,568,10449,
"Croydon Park - Enfield",16394,103,0,0,722,17222,
"Dulwich Hill - Lewisham",15415,234,4,14,1140,16809,
"Haberfield - Summer Hill",12668,99,3,0,701,13474,
"Homebush",14753,33,4,0,1422,16211,
"Strathfield",23617,61,3,0,1337,25016,
"Strathfield South",3351,21,0,0,175,3542,
"Chatswood (East) - Artarmon",27109,43,0,0,1527,28683,
"Chatswood (West) - Lane Cove North",19943,38,0,3,877,20857,
"Lane Cove - Greenwich",25546,95,0,7,1095,26733,
"St Leonards - Naremburn",9784,25,0,0,693,10500,
"Willoughby - Castle Cove - Northbridge",24404,45,3,0,1014,25463,
"Asquith - Mount Colah",17614,137,0,5,531,18291,
"Berowra - Brooklyn - Cowan",11260,94,0,0,342,11699,
"Normanhurst - Thornleigh - Westleigh",17892,92,11,0,545,18531,
"Hornsby - East",11366,54,4,0,377,11798,
"Hornsby - West",10119,47,0,0,517,10684,
"Waitara - Wahroonga (West)",9172,20,0,0,408,9602,
"Gordon - Killara",20626,29,0,0,671,21328,
"Lindfield - Roseville",22381,31,0,0,738,23147,
"Pymble",15858,24,4,0,466,16354,
"St Ives",19832,26,0,3,588,20456,
"Turramurra",18464,24,8,0,770,19267,
"Wahroonga (East) - Warrawee",17020,62,8,3,730,17822,
"Cremorne - Cammeray",17789,36,5,4,1245,19084,
"Crows Nest - Waverton",16801,49,12,0,1163,18026,
"Mosman",26523,55,4,0,1896,28476,
"Neutral Bay - Kirribilli",16296,43,11,3,1500,17852,
"North Sydney - Lavender Bay",9675,34,3,0,992,10703,
"Balgowlah - Clontarf - Seaforth",19226,65,0,3,893,20188,
"Manly - Fairlight",20041,80,6,4,1580,21704,
"Avalon - Palm Beach",11751,70,0,0,559,12374,
"Bayview - Elanora Heights",10078,51,4,0,615,10745,
"Newport - Bilgola",12688,59,3,4,431,13186,
"Warriewood - Mona Vale",22847,186,9,0,1089,24134,
"Beacon Hill - Narraweena",13174,119,0,0,584,13882,
"Cromer",7124,68,0,0,288,7485,
"Dee Why - North Curl Curl",23241,128,9,0,1569,24949,
"Forestville - Killarney Heights",12395,38,4,0,355,12796,
"Frenchs Forest - Belrose",24267,92,7,0,801,25171,
"Freshwater - Brookvale",19607,106,8,0,1247,20978,
"Manly Vale - Allambie Heights",16148,88,4,0,637,16870,
"Narrabeen - Collaroy",23284,146,4,11,1328,24771,
"Terrey Hills - Duffys Forest",3424,20,0,0,197,3648,
"Camden - Ellis Lane",12255,254,3,0,451,12963,
"Elderslie - Harrington Park",19731,476,0,0,763,20980,
"Mount Annan - Currans Hill",26719,892,11,8,943,28576,
"Bradbury - Wedderburn",16717,1153,22,28,1040,18962,
"Campbelltown - Woodbine",16430,634,23,14,1094,18194,
"Claymore - Eagle Vale - Raby",18441,817,20,23,1101,20405,
"Holsworthy Military Area",0,0,0,0,0,0,
"Ingleburn - Denham Court",18436,390,13,8,1137,19985,
"Leumeah - Minto Heights",15232,591,15,6,688,16541,
"Macquarie Fields - Glenfield",21218,677,18,10,1639,23556,
"Minto - St Andrews",18454,634,19,4,775,19887,
"Rosemeadow - Glen Alpine",18892,864,5,7,1108,20876,
"Bargo",5214,198,3,0,325,5740,
"Douglas Park - Appin",8944,249,6,4,429,9625,
"Picton - Tahmoor - Buxton",15185,588,8,4,997,16786,
"The Oaks - Oakdale",8262,253,6,0,478,8997,
"Blackheath - Megalong Valley",5051,108,5,0,386,5560,
"Blaxland - Warrimoo - Lapstone",17941,358,5,8,631,18936,
"Blue Mountains - North",12,0,0,0,0,12,
"Katoomba - Leura",11942,366,3,9,901,13222,
"Lawson - Hazelbrook - Linden",10441,359,4,7,439,11253,
"Springwood - Winmalee",20487,438,14,8,687,21633,
"Wentworth Falls",5622,118,0,0,327,6077,
"Blue Mountains - South",3,0,0,0,0,5,
"Cambridge Park",14104,829,22,11,670,15644,
"Castlereagh - Cranebrook",21492,1054,18,8,1155,23724,
"Emu Plains - Leonay",13288,449,11,4,479,14223,
"Glenmore Park - Regentville",19966,531,6,5,697,21203,
"Jamisontown - South Penrith",15818,614,10,5,841,17288,
"Kingswood - Werrington",17763,747,11,6,1050,19577,
"Mulgoa - Luddenham - Orchard Hills",8818,161,11,0,555,9541,
"Penrith",11719,649,5,12,909,13295,
"Warragamba - Silverdale",4755,185,5,0,253,5195,
"Richmond - Clarendon",12499,552,8,4,787,13839,
"Windsor - Bligh Park",13659,879,16,6,768,15330,
"Yarramundi - Londonderry",6433,492,6,5,436,7376,
"Erskine Park",6057,137,5,3,236,6440,
"St Clair",18407,572,13,3,895,19895,
"Colyton - Oxley Park",10365,509,12,12,699,11595,
"St Marys - North St Marys",13949,803,15,15,1284,16074,
"Homebush Bay - Silverwater",16763,401,14,11,1546,18733,
"Rookwood Cemetery",0,0,0,0,0,0,
"Auburn - Central",16340,20,5,0,803,17175,
"Auburn - North",10638,3,4,0,670,11325,
"Auburn - South",8080,31,0,0,377,8487,
"Berala",8571,34,0,3,289,8898,
"Lidcombe",18922,48,4,0,1014,19988,
"Regents Park",4828,34,0,0,200,5067,
"Carlingford",26521,66,0,0,771,27359,
"Ermington - Rydalmere",20294,191,3,6,923,21423,
"Oatlands - Dundas Valley",16807,131,4,8,837,17788,
"Chester Hill - Sefton",17410,120,7,10,924,18461,
"Fairfield - East",14389,120,3,6,991,15514,
"Granville - Clyde",19426,102,0,3,1292,20830,
"Greystanes - Pemulwuy",24999,253,15,4,1038,26307,
"Guildford - South Granville",19251,163,9,0,1526,20951,
"Guildford West - Merrylands West",19414,214,8,3,1080,20722,
"Merrylands - Holroyd",26918,240,7,6,1274,28452,
